Time Norm Re(ACF(t)) Im(ACF(t)) |ACF(t)| Re(Extra) Im(Extra) |Extra| Sum(HEhr) Pop1 Pop2 Pop1+Pop2 Pop2-Pop1 
 

0.000000000000000000e+00 1.115567720105948180e+00 1.115567720105948180e+00 -3.997145929137233918e-17 1.115567720105948180e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.981502332385683985e+03 1.115567720105948180e+00 0.000000000000000000e+00 1.115567720105948180e+00 1.115567720105948180e+00
2.500000000000000052e-03 1.000000875000000011e+00 8.822507699999999620e-01 -4.693534299999999604e-01 9.993293050000000566e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.562037150000000111e+03 9.999946500000000960e-01 6.247114399999999590e-06 1.000000875000000011e+00 9.999883800000000100e-01
5.000000000000000104e-03 1.000180750000000174e+00 5.581859449999999612e-01 -8.271932600000000413e-01 9.979079349999999682e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.560861800000000130e+03 1.000155850000000068e+00 2.496736899999999938e-05 1.000180750000000174e+00 1.000130850000000127e+00
7.499999999999999722e-03 1.000360300000000091e+00 1.056886400000000004e-01 -9.905315399999999881e-01 9.961540200000000844e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.559702499999999873e+03 1.000304199999999977e+00 5.610070999999999705e-05 1.000360300000000091e+00 1.000248099999999862e+00
1.000000000000000021e-02 1.000539449999999997e+00 -3.691533049999999871e-01 -9.236631749999999474e-01 9.946998799999999807e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.558588999999999942e+03 1.000439899999999938e+00 9.955876749999999394e-05 1.000539449999999997e+00 1.000340350000000100e+00
1.250000000000000069e-02 1.000718250000000031e+00 -7.573790599999999928e-01 -6.435680649999999670e-01 9.938827550000000066e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.557533650000000307e+03 1.000562949999999951e+00 1.552744050000000125e-04 1.000718250000000031e+00 1.000407700000000011e+00
1.499999999999999944e-02 1.000896650000000054e+00 -9.701130399999999820e-01 -2.146540100000000062e-01 9.935772299999999779e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.556488749999999982e+03 1.000673449999999853e+00 2.232034249999999796e-04 1.000896650000000054e+00 1.000450250000000096e+00
1.750000000000000167e-02 1.001074699999999984e+00 -9.574223099999999986e-01 2.644521549999999666e-01 9.932736300000000185e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.555343550000000050e+03 1.000771349999999948e+00 3.033260200000000039e-04 1.001074699999999984e+00 1.000468050000000053e+00
2.000000000000000042e-02 1.001252349999999902e+00 -7.211502199999999529e-01 6.817139050000000644e-01 9.923666600000000670e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.554018100000000231e+03 1.000856750000000073e+00 3.956227000000000094e-04 1.001252349999999902e+00 1.000461150000000021e+00
