Time Norm Re(ACF(t)) Im(ACF(t)) |ACF(t)| Re(Extra) Im(Extra) |Extra| Sum(HEhr) Pop1 Pop2 Pop1+Pop2 Pop2-Pop1
 
 
  0.00000000E+000  0.99987470E+000  0.99987470E+000  0.69388939E-017  0.99987470E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.38661660E+004  0.99987470E+000  0.00000000E+000  0.99987470E+000  0.99987470E+000
  0.75000000E-002  0.10007981E+001 -0.96507241E+000 -0.25343340E+000  0.99779419E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.38601340E+004  0.10007419E+001  0.56146822E-004  0.10007981E+001  0.10006858E+001
  0.15000000E-001  0.10011264E+001  0.86377686E+000  0.49027238E+000  0.99321572E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.38582586E+004  0.10009023E+001  0.22404558E-003  0.10011264E+001  0.10006783E+001
  0.22500000E-001  0.10012562E+001 -0.70317882E+000 -0.69288464E+000  0.98719278E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.38579597E+004  0.10007520E+001  0.50415287E-003  0.10012562E+001  0.10002479E+001
  0.30000000E-001  0.10013166E+001  0.49477553E+000  0.84777633E+000  0.98159439E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.38577984E+004  0.10004243E+001  0.89235545E-003  0.10013166E+001  0.99953190E+000
  0.37500000E-001  0.10013538E+001 -0.25391654E+000 -0.94372933E+000  0.97729149E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.38585637E+004  0.99996545E+000  0.13883681E-002  0.10013538E+001  0.99857708E+000
  0.45000000E-001  0.10013776E+001 -0.27102215E-002  0.97353968E+000  0.97354345E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.38579348E+004  0.99939002E+000  0.19875855E-002  0.10013776E+001  0.99740243E+000
  0.52500000E-001  0.10014005E+001  0.25732211E+000 -0.93519517E+000  0.96995086E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.38579831E+004  0.99871000E+000  0.26905198E-002  0.10014005E+001  0.99601948E+000
  0.60000000E-001  0.10014226E+001 -0.49244438E+000  0.83140319E+000  0.96629847E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.38582168E+004  0.99792814E+000  0.34944279E-002  0.10014226E+001  0.99443371E+000
  0.67500000E-001  0.10014442E+001  0.69198469E+000 -0.66990047E+000  0.96312484E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.38587566E+004  0.99704724E+000  0.43969844E-002  0.10014442E+001  0.99265026E+000
  0.75000000E-001  0.10014690E+001 -0.84210212E+000  0.46237316E+000  0.96068981E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.38595159E+004  0.99607469E+000  0.53943326E-002  0.10014690E+001  0.99068036E+000
  0.82500000E-001  0.10014946E+001  0.93226792E+000 -0.22371384E+000  0.95873425E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.38601749E+004  0.99501208E+000  0.64825390E-002  0.10014946E+001  0.98852954E+000
