Time Norm Re(ACF(t)) Im(ACF(t) |ACF(t)| Re(Extra) Im(Extra) |Extra| Sum(HEhr) Pop1 Pop2 Pop1+Pop2 Pop2-Pop1
 
 
  0.00000000E+000  0.79997613E+001  0.24997016E+000 -0.86736174E-018  0.24997016E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.39819263E+004  0.19997613E+001  0.60000000E+001  0.79997613E+001 -0.40002387E+001
  0.75000000E-002  0.80003581E+001 -0.24209162E+000 -0.64997810E-001  0.25066525E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.39795108E+004  0.20012527E+001  0.59991054E+001  0.80003581E+001 -0.39978526E+001
  0.15000000E-001  0.80005442E+001  0.21676394E+000  0.12615041E+000  0.25079978E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.39787284E+004  0.20023839E+001  0.59981603E+001  0.80005442E+001 -0.39957764E+001
  0.22500000E-001  0.80005951E+001 -0.17566388E+000 -0.17868901E+000  0.25057446E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.39785867E+004  0.20036878E+001  0.59969073E+001  0.80005951E+001 -0.39932195E+001
  0.30000000E-001  0.80006000E+001  0.12173073E+000  0.21892420E+000  0.25049187E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.39785991E+004  0.20053330E+001  0.59952670E+001  0.80006000E+001 -0.39899340E+001
  0.37500000E-001  0.80005872E+001 -0.58939257E-001 -0.24370037E+000  0.25072636E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.39786417E+004  0.20073601E+001  0.59932271E+001  0.80005872E+001 -0.39858671E+001
  0.45000000E-001  0.80005652E+001 -0.82742975E-002  0.25092034E+000  0.25105673E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.39783436E+004  0.20097666E+001  0.59907987E+001  0.80005652E+001 -0.39810321E+001
  0.52500000E-001  0.80005429E+001  0.75083968E-001 -0.23990151E+000  0.25137689E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.39782552E+004  0.20125397E+001  0.59880032E+001  0.80005429E+001 -0.39754635E+001
  0.60000000E-001  0.80005217E+001 -0.13666283E+000  0.21129525E+000  0.25163944E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.39782966E+004  0.20156615E+001  0.59848602E+001  0.80005217E+001 -0.39691988E+001
  0.67500000E-001  0.80005009E+001  0.18858954E+000 -0.16716459E+000  0.25201194E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.39784024E+004  0.20191155E+001  0.59813854E+001  0.80005009E+001 -0.39622699E+001
  0.75000000E-001  0.80004808E+001 -0.22706838E+000  0.11068833E+000  0.25261028E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.39784716E+004  0.20228898E+001  0.59775910E+001  0.80004808E+001 -0.39547013E+001
  0.82500000E-001  0.80004599E+001  0.24920466E+000 -0.45913710E-001  0.25339895E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.39784723E+004  0.20269729E+001  0.59734869E+001  0.80004599E+001 -0.39465140E+001
