Time Norm Re(ACF(t)) Im(ACF(t)) |ACF(t)| Re(Extra) Im(Extra) |Extra| Sum(HEhr) Pop1 Pop2 Pop1+Pop2 Pop2-Pop1
 
 
  0.00000000E+000  0.99987981E+000  0.99987981E+000 -0.13183898E-015  0.99987981E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.21433867E+004  0.99987981E+000  0.00000000E+000  0.99987981E+000  0.99987981E+000
  0.75000000E-002  0.10128375E+001  0.10033128E+000 -0.99825508E+000  0.10032844E+001  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.20423822E+004  0.10127801E+001  0.57348618E-004  0.10128375E+001  0.10127228E+001
  0.15000000E-001  0.10173834E+001 -0.98165428E+000 -0.20652046E+000  0.10031430E+001  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.20082593E+004  0.10171517E+001  0.23166393E-003  0.10173834E+001  0.10169201E+001
  0.22500000E-001  0.10189342E+001 -0.31023389E+000  0.94928136E+000  0.99868922E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.19964211E+004  0.10184274E+001  0.50675606E-003  0.10189342E+001  0.10179206E+001
  0.30000000E-001  0.10192852E+001  0.90300964E+000  0.41225401E+000  0.99266297E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.19929051E+004  0.10184046E+001  0.88064571E-003  0.10192852E+001  0.10175239E+001
  0.37500000E-001  0.10191720E+001  0.50941584E+000 -0.84534866E+000  0.98697460E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.19919240E+004  0.10177975E+001  0.13745166E-002  0.10191720E+001  0.10164229E+001
  0.45000000E-001  0.10177565E+001 -0.77623503E+000 -0.60046453E+000  0.98137581E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.19968650E+004  0.10157819E+001  0.19745202E-002  0.10177565E+001  0.10138074E+001
  0.52500000E-001  0.10196648E+001 -0.68532806E+000  0.69850700E+000  0.97856353E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.19978746E+004  0.10169153E+001  0.27495042E-002  0.10196648E+001  0.10141658E+001
  0.60000000E-001  0.10194710E+001  0.61371779E+000  0.76054872E+000  0.97728393E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.20045433E+004  0.10157816E+001  0.36893670E-002  0.10194710E+001  0.10120922E+001
  0.67500000E-001  0.10176608E+001  0.82622224E+000 -0.52181471E+000  0.97720714E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.20013980E+004  0.10128235E+001  0.48372654E-002  0.10176608E+001  0.10079862E+001
  0.75000000E-001  0.10192899E+001 -0.42403101E+000 -0.88116286E+000  0.97788050E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.20011628E+004  0.10133198E+001  0.59701011E-002  0.10192899E+001  0.10073497E+001
  0.82500000E-001  0.10193593E+001 -0.92203602E+000  0.32142709E+000  0.97645573E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.20020441E+004  0.10122570E+001  0.71023808E-002  0.10193593E+001  0.10051546E+001
