Time Norm Re(ACF(t)) Im(ACF(t) |ACF(t)| Re(Extra) Im(Extra) |Extra| Sum(HEhr) Pop1 Pop2 Pop1+Pop2 Pop2-Pop1
 
 
  0.00000000E+000  0.63999687E+002  0.31245106E-001  0.00000000E+000  0.31245106E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.62038721E+003  0.19996868E+001  0.62000000E+002  0.63999687E+002 -0.60000313E+002
  0.25000000E-002  0.63998614E+002  0.27407557E-001 -0.14781732E-001  0.31139586E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.62036316E+003  0.20000785E+001  0.61998536E+002  0.63998614E+002 -0.59998457E+002
  0.50000000E-002  0.63997544E+002  0.17050183E-001 -0.25897693E-001  0.31006438E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.62033868E+003  0.20012194E+001  0.61996325E+002  0.63997544E+002 -0.59995106E+002
  0.75000000E-002  0.63996477E+002  0.27532389E-002 -0.30737995E-001  0.30861055E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.62031405E+003  0.20031073E+001  0.61993370E+002  0.63996477E+002 -0.59990262E+002
  0.10000000E-001  0.63995412E+002 -0.12038662E-001 -0.28262845E-001  0.30719991E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.62028988E+003  0.20057394E+001  0.61989673E+002  0.63995412E+002 -0.59983933E+002
  0.12500000E-001  0.63994349E+002 -0.23858239E-001 -0.19151636E-001  0.30594129E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.62026630E+003  0.20091126E+001  0.61985237E+002  0.63994349E+002 -0.59976124E+002
  0.15000000E-001  0.63993289E+002 -0.29968518E-001 -0.55857497E-002  0.30484630E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.62024332E+003  0.20132239E+001  0.61980065E+002  0.63993289E+002 -0.59966842E+002
  0.17500000E-001  0.63992232E+002 -0.28946977E-001  0.92305357E-002  0.30383058E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.62022010E+003  0.20180699E+001  0.61974162E+002  0.63992232E+002 -0.59956092E+002
  0.20000000E-001  0.63991176E+002 -0.21041917E-001  0.21768043E-001  0.30275568E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.62019312E+003  0.20236469E+001  0.61967529E+002  0.63991176E+002 -0.59943883E+002
  0.22500000E-001  0.63990124E+002 -0.81765020E-002  0.29019377E-001  0.30149285E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.62016121E+003  0.20299500E+001  0.61960174E+002  0.63990124E+002 -0.59930224E+002
  0.25000000E-001  0.63989075E+002  0.65035856E-002  0.29284593E-001  0.29998066E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.62013346E+003  0.20369727E+001  0.61952103E+002  0.63989075E+002 -0.59915130E+002
  0.27500000E-001  0.63988029E+002  0.19455635E-001  0.22606506E-001  0.29825758E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.62011900E+003  0.20447069E+001  0.61943322E+002  0.63988029E+002 -0.59898615E+002
