Time Norm Re(ACF(t)) Im(ACF(t)) |ACF(t)| Re(Extra) Im(Extra) |Extra| Sum(HEhr) Pop1 Pop2 Pop1+Pop2 Pop2-Pop1 
 

0.000000000000000000e+00 1.106324780705208566e+00 1.106324780705208566e+00 -8.010299900023873385e-17 1.106324780705208566e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.145317601500300043e+03 1.106324780705208566e+00 0.000000000000000000e+00 1.106324780705208566e+00 1.106324780705208566e+00
2.500000000000000052e-03 9.999988600000000449e-01 8.822441649999999136e-01 -4.693530350000000295e-01 9.993232899999999752e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.743489700000000084e+03 9.999925899999999590e-01 6.247987999999999818e-06 9.999988600000000449e-01 9.999863650000000437e-01
5.000000000000000104e-03 1.000187555000000117e+00 5.581804049999999906e-01 -8.272014699999999943e-01 9.979116350000000191e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.741984750000000076e+03 1.000162575000000054e+00 2.496945700000000111e-05 1.000187555000000117e+00 1.000137639999999939e+00
7.499999999999999722e-03 1.000375899999999874e+00 1.056671349999999954e-01 -9.905454649999999583e-01 9.961655799999999950e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.740485599999999977e+03 1.000319785000000072e+00 5.609800549999999556e-05 1.000375899999999874e+00 1.000263694999999897e+00
1.000000000000000021e-02 1.000563850000000032e+00 -3.691944900000000418e-01 -9.236601049999999535e-01 9.947123049999999633e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.738998450000000048e+03 1.000464320000000074e+00 9.955254349999999492e-05 1.000563850000000032e+00 1.000364765000000045e+00
1.250000000000000069e-02 1.000751450000000098e+00 -7.574194450000000245e-01 -6.435313950000000061e-01 9.938897799999999449e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.737519900000000234e+03 1.000596150000000017e+00 1.552691649999999983e-04 1.000751450000000098e+00 1.000440914999999986e+00
1.499999999999999944e-02 1.000938649999999930e+00 -9.701241050000000143e-01 -2.145901299999999901e-01 9.935742149999999828e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.736058049999999639e+03 1.000715449999999951e+00 2.232129700000000036e-04 1.000938649999999930e+00 1.000492270000000072e+00
1.750000000000000167e-02 1.001125550000000031e+00 -9.573894800000000149e-01 2.645143850000000185e-01 9.932585250000000032e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.734621999999999844e+03 1.000822199999999995e+00 3.033751799999999735e-04 1.001125550000000031e+00 1.000518805000000011e+00
2.000000000000000042e-02 1.001312050000000120e+00 -7.210880450000000108e-01 6.817453549999999973e-01 9.923430450000000347e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.733175350000000435e+03 1.000916339999999849e+00 3.956979550000000088e-04 1.001312050000000120e+00 1.000520630000000022e+00
