Time Norm Re(ACF(t)) Im(ACF(t)) |ACF(t)| Re(Extra) Im(Extra) |Extra| Sum(HEhr) Pop1 Pop2 Pop1+Pop2 Pop2-Pop1 
 

0.000000000000000000e+00 9.998206599999999167e-01 9.998206599999999167e-01 -6.938894000000000727e-18 9.998206599999999167e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.869657449999999699e+03 9.998206599999999167e-01 0.000000000000000000e+00 9.998206599999999167e-01 9.998206599999999167e-01
7.499999999999999722e-03 1.001312850000000143e+00 -9.654673649999999663e-01 -2.535635350000000066e-01 9.982093899999999742e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.863177999999999884e+03 1.001256499999999994e+00 5.630914249999999889e-05 1.001312850000000143e+00 1.001200199999999985e+00
1.499999999999999944e-02 1.001840749999999947e+00 8.645002050000000215e-01 4.904562350000000182e-01 9.939358099999999752e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.860822650000000067e+03 1.001615699999999887e+00 2.250396949999999992e-04 1.001840749999999947e+00 1.001390659999999988e+00
2.249999999999999917e-02 1.002040050000000182e+00 -7.039263099999999440e-01 -6.931321150000000486e-01 9.878992799999999352e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.859958849999999984e+03 1.001536639999999867e+00 5.034076900000000482e-04 1.002040050000000182e+00 1.001033229999999996e+00
2.999999999999999889e-02 1.002113049999999950e+00 4.954311900000000213e-01 8.481872200000000195e-01 9.822800400000000209e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.860036200000000008e+03 1.001223060000000054e+00 8.899602500000000551e-04 1.002113049999999950e+00 1.000333115000000106e+00
3.749999999999999861e-02 1.002168049999999866e+00 -2.545161599999999913e-01 -9.442675750000000257e-01 9.779673150000000037e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.859786000000000058e+03 1.000788309999999903e+00 1.379726549999999927e-03 1.002168049999999866e+00 9.994086250000000504e-01
4.499999999999999833e-02 1.002220400000000122e+00 -2.208355800000000226e-03 9.742776049999999355e-01 9.742801850000000208e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.859719950000000154e+03 1.000246644999999823e+00 1.973807599999999936e-03 1.002220400000000122e+00 9.982728149999999800e-01
5.249999999999999806e-02 1.002263500000000196e+00 2.569291949999999991e-01 -9.360910449999999550e-01 9.707105999999999790e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.861315650000000005e+03 9.995960799999999979e-01 2.667433199999999938e-03 1.002263500000000196e+00 9.969286349999999519e-01
5.999999999999999778e-02 1.002346000000000181e+00 -4.921759199999999890e-01 8.323799400000000404e-01 9.670023299999999100e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.862907449999999699e+03 9.988874000000000919e-01 3.458617750000000240e-03 1.002346000000000181e+00 9.954287749999999324e-01
