Time Norm Re(ACF(t)) Im(ACF(t) |ACF(t)| Re(Extra) Im(Extra) |Extra| Sum(HEhr) Pop1 Pop2 Pop1+Pop2 Pop2-Pop1
 
 
  0.00000000E+000  9.99820660E-001  9.99820660E-001 -6.93889400E-018  9.99820660E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  3.86965745E+003  9.99820660E-001  0.00000000E+000  9.99820660E-001  9.99820660E-001
  7.50000000E-003  1.00131285E+000 -9.65467365E-001 -2.53563535E-001  9.98209390E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  3.86317800E+003  1.00125650E+000  5.63091425E-005  1.00131285E+000  1.00120020E+000
  1.50000000E-002  1.00184075E+000  8.64500205E-001  4.90456235E-001  9.93935810E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  3.86082265E+003  1.00161570E+000  2.25039695E-004  1.00184075E+000  1.00139066E+000
  2.25000000E-002  1.00204005E+000 -7.03926310E-001 -6.93132115E-001  9.87899280E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  3.85995885E+003  1.00153664E+000  5.03407690E-004  1.00204005E+000  1.00103323E+000
  3.00000000E-002  1.00211305E+000  4.95431190E-001  8.48187220E-001  9.82280040E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  3.86003620E+003  1.00122306E+000  8.89960250E-004  1.00211305E+000  1.00033312E+000
  3.75000000E-002  1.00216805E+000 -2.54516160E-001 -9.44267575E-001  9.77967315E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  3.85978600E+003  1.00078831E+000  1.37972655E-003  1.00216805E+000  9.99408625E-001
  4.50000000E-002  1.00222040E+000 -2.20835580E-003  9.74277605E-001  9.74280185E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  3.85971995E+003  1.00024664E+000  1.97380760E-003  1.00222040E+000  9.98272815E-001
  5.25000000E-002  1.00226350E+000  2.56929195E-001 -9.36091045E-001  9.70710600E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  3.86131565E+003  9.99596080E-001  2.66743320E-003  1.00226350E+000  9.96928635E-001
  6.00000000E-002  1.00234600E+000 -4.92175920E-001  8.32379940E-001  9.67002330E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  3.86290745E+003  9.98887400E-001  3.45861775E-003  1.00234600E+000  9.95428775E-001
  6.75000000E-002  1.00247925E+000  6.91810535E-001 -6.70703870E-001  9.63558765E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  3.86430715E+003  9.98128900E-001  4.35038840E-003  1.00247925E+000  9.93778515E-001
  7.50000000E-002  1.00255810E+000 -8.42061350E-001  4.63064215E-001  9.60986910E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  3.86493380E+003  9.97218105E-001  5.33997965E-003  1.00255810E+000  9.91878125E-001
  8.25000000E-002  1.00259065E+000  9.32415765E-001 -2.24349945E-001  9.59026670E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  3.86496285E+003  9.96163855E-001  6.42679210E-003  1.00259065E+000  9.89737060E-001
