Time Norm Re(ACF(t)) Im(ACF(t) |ACF(t)| Re(Extra) Im(Extra) |Extra| Sum(HEhr) Pop1 Pop2 Pop1+Pop2 Pop2-Pop1
 
 
  0.00000000E+000  0.19997729E+001  0.99988643E+000 -0.72858386E-016  0.99988643E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.21733521E+004  0.19997729E+001  0.00000000E+000  0.19997729E+001  0.19997729E+001
  0.75000000E-002  0.20294036E+001  0.10428573E+000 -0.99871735E+000  0.10041473E+001  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.20568736E+004  0.20292891E+001  0.11444137E-003  0.20294036E+001  0.20291747E+001
  0.15000000E-001  0.20396369E+001 -0.98169013E+000 -0.21195223E+000  0.10043103E+001  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.20174626E+004  0.20391766E+001  0.46028275E-003  0.20396369E+001  0.20387164E+001
  0.22500000E-001  0.20431005E+001 -0.31613668E+000  0.94868547E+000  0.99997326E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.20038731E+004  0.20420789E+001  0.10216107E-002  0.20431005E+001  0.20410573E+001
  0.30000000E-001  0.20441561E+001  0.90177367E+000  0.41824021E+000  0.99404257E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.19997929E+004  0.20423646E+001  0.17915332E-002  0.20441561E+001  0.20405730E+001
  0.37500000E-001  0.20436809E+001  0.51536910E+000 -0.84310307E+000  0.98814377E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.20037580E+004  0.20408492E+001  0.28316467E-002  0.20436809E+001  0.20380176E+001
  0.45000000E-001  0.20430206E+001 -0.77401480E+000 -0.60653709E+000  0.98335454E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.20041396E+004  0.20389904E+001  0.40302306E-002  0.20430206E+001  0.20349602E+001
  0.52500000E-001  0.20452116E+001 -0.69059120E+000  0.69525865E+000  0.97994938E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.20046567E+004  0.20396663E+001  0.55453630E-002  0.20452116E+001  0.20341209E+001
  0.60000000E-001  0.20449164E+001  0.60941171E+000  0.76562824E+000  0.97855467E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.20093685E+004  0.20376040E+001  0.73124031E-002  0.20449164E+001  0.20302916E+001
  0.67500000E-001  0.20436028E+001  0.83049835E+000 -0.51655840E+000  0.97803890E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.20081342E+004  0.20342148E+001  0.93879956E-002  0.20436028E+001  0.20248268E+001
  0.75000000E-001  0.20453010E+001 -0.41764325E+000 -0.88458798E+000  0.97822379E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.20045695E+004  0.20337267E+001  0.11574355E-001  0.20453010E+001  0.20221523E+001
  0.82500000E-001  0.20444022E+001 -0.92508017E+000  0.31410033E+000  0.97695053E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.20089165E+004  0.20305227E+001  0.13879460E-001  0.20444022E+001  0.20166433E+001
