Time Norm Re(ACF(t)) Im(ACF(t) |ACF(t)| Re(Extra) Im(Extra) |Extra| Sum(HEhr) Pop1 Pop2 Pop1+Pop2 Pop2-Pop1
 
 
  0.00000000E+000  1.99977290E+000  9.99886430E-001 -7.28583860E-017  9.99886430E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  2.17335210E+003  1.99977290E+000  0.00000000E+000  1.99977290E+000  1.99977290E+000
  7.50000000E-003  2.02940360E+000  1.04285730E-001 -9.98717350E-001  1.00414730E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  2.05687360E+003  2.02928910E+000  1.14441370E-004  2.02940360E+000  2.02917470E+000
  1.50000000E-002  2.03963690E+000 -9.81690130E-001 -2.11952230E-001  1.00431030E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  2.01746260E+003  2.03917660E+000  4.60282750E-004  2.03963690E+000  2.03871640E+000
  2.25000000E-002  2.04310050E+000 -3.16136680E-001  9.48685470E-001  9.99973260E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  2.00387310E+003  2.04207890E+000  1.02161070E-003  2.04310050E+000  2.04105730E+000
  3.00000000E-002  2.04415610E+000  9.01773670E-001  4.18240210E-001  9.94042570E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  1.99979290E+003  2.04236460E+000  1.79153320E-003  2.04415610E+000  2.04057300E+000
  3.75000000E-002  2.04368090E+000  5.15369100E-001 -8.43103070E-001  9.88143770E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  2.00375800E+003  2.04084920E+000  2.83164670E-003  2.04368090E+000  2.03801760E+000
  4.50000000E-002  2.04302060E+000 -7.74014800E-001 -6.06537090E-001  9.83354540E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  2.00413960E+003  2.03899040E+000  4.03023060E-003  2.04302060E+000  2.03496020E+000
  5.25000000E-002  2.04521160E+000 -6.90591200E-001  6.95258650E-001  9.79949380E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  2.00465670E+003  2.03966630E+000  5.54536300E-003  2.04521160E+000  2.03412090E+000
  6.00000000E-002  2.04491640E+000  6.09411710E-001  7.65628240E-001  9.78554670E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  2.00936850E+003  2.03760400E+000  7.31240310E-003  2.04491640E+000  2.03029160E+000
  6.75000000E-002  2.04360280E+000  8.30498350E-001 -5.16558400E-001  9.78038900E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  2.00813420E+003  2.03421480E+000  9.38799560E-003  2.04360280E+000  2.02482680E+000
  7.50000000E-002  2.04530100E+000 -4.17643250E-001 -8.84587980E-001  9.78223790E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  2.00456950E+003  2.03372670E+000  1.15743550E-002  2.04530100E+000  2.02215230E+000
  8.25000000E-002  2.04440220E+000 -9.25080170E-001  3.14100330E-001  9.76950530E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  2.00891650E+003  2.03052270E+000  1.38794600E-002  2.04440220E+000  2.01664330E+000
