Time Norm Re(ACF(t)) Im(ACF(t)) |ACF(t)| Re(Extra) Im(Extra) |Extra| Sum(HEhr) Pop1 Pop2 Pop1+Pop2 Pop2-Pop1 
 

0.000000000000000000e+00 9.998434300000000885e-01 9.998434300000000885e-01 -2.775557549999999930e-17 9.998434300000000885e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.885863699999999881e+02 9.998434300000000885e-01 0.000000000000000000e+00 9.998434300000000885e-01 9.998434300000000885e-01
2.500000000000000052e-03 9.998464849999999515e-01 8.820746400000000209e-01 -4.695898849999999847e-01 9.992849100000000817e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.885752649999999448e+02 9.998402399999999357e-01 6.247430800000000446e-06 9.998464849999999515e-01 9.998339949999999199e-01
5.000000000000000104e-03 9.998495350000000670e-01 5.576378449999999098e-01 -8.273060349999999952e-01 9.976949699999999588e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.885507749999999305e+02 9.998245599999999733e-01 2.497351649999999913e-05 9.998495350000000670e-01 9.997995900000000713e-01
7.499999999999999722e-03 9.998525649999999709e-01 1.050116200000000000e-01 -9.901882149999999827e-01 9.957410150000000071e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.885254350000000159e+02 9.997964400000000085e-01 5.612376449999999912e-05 9.998525649999999709e-01 9.997403200000000156e-01
1.000000000000000021e-02 9.998555499999999263e-01 -3.695611149999999956e-01 -9.228883150000000146e-01 9.941319399999999362e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.885318400000001020e+02 9.997559400000000096e-01 9.960868350000000554e-05 9.998555499999999263e-01 9.996563300000000929e-01
1.250000000000000069e-02 9.998584900000000442e-01 -7.573317150000000719e-01 -6.426425599999999738e-01 9.932476299999999370e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.885814649999999801e+02 9.997031499999999848e-01 1.553393850000000045e-04 9.998584900000000442e-01 9.995478099999999255e-01
1.499999999999999944e-02 9.998614999999999586e-01 -9.696674650000000062e-01 -2.137920400000000165e-01 9.929562350000000759e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.886257399999999507e+02 9.996382299999999610e-01 2.232661749999999919e-04 9.998614999999999586e-01 9.994149650000000440e-01
1.750000000000000167e-02 9.998646599999999607e-01 -9.566283650000000360e-01 2.651937600000000006e-01 9.927061999999999831e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.886269549999999526e+02 9.995612600000000070e-01 3.034020449999999623e-04 9.998646599999999607e-01 9.992578549999999726e-01
2.000000000000000042e-02 9.998678050000000539e-01 -7.199325850000000138e-01 6.822131599999999851e-01 9.918254549999999670e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.886108950000000277e+02 9.994719949999999464e-01 3.958158399999999952e-04 9.998678050000000539e-01 9.990761750000000108e-01
