Time Norm Re(ACF(t)) Im(ACF(t) |ACF(t)| Re(Extra) Im(Extra) |Extra| Sum(HEhr) Pop1 Pop2 Pop1+Pop2 Pop2-Pop1
 
 
  0.00000000E+000  9.99843430E-001  9.99843430E-001 -2.77555755E-017  9.99843430E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  5.88586370E+002  9.99843430E-001  0.00000000E+000  9.99843430E-001  9.99843430E-001
  2.50000000E-003  9.99846485E-001  8.82074640E-001 -4.69589885E-001  9.99284910E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  5.88575265E+002  9.99840240E-001  6.24743080E-006  9.99846485E-001  9.99833995E-001
  5.00000000E-003  9.99849535E-001  5.57637845E-001 -8.27306035E-001  9.97694970E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  5.88550775E+002  9.99824560E-001  2.49735165E-005  9.99849535E-001  9.99799590E-001
  7.50000000E-003  9.99852565E-001  1.05011620E-001 -9.90188215E-001  9.95741015E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  5.88525435E+002  9.99796440E-001  5.61237645E-005  9.99852565E-001  9.99740320E-001
  1.00000000E-002  9.99855550E-001 -3.69561115E-001 -9.22888315E-001  9.94131940E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  5.88531840E+002  9.99755940E-001  9.96086835E-005  9.99855550E-001  9.99656330E-001
  1.25000000E-002  9.99858490E-001 -7.57331715E-001 -6.42642560E-001  9.93247630E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  5.88581465E+002  9.99703150E-001  1.55339385E-004  9.99858490E-001  9.99547810E-001
  1.50000000E-002  9.99861500E-001 -9.69667465E-001 -2.13792040E-001  9.92956235E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  5.88625740E+002  9.99638230E-001  2.23266175E-004  9.99861500E-001  9.99414965E-001
  1.75000000E-002  9.99864660E-001 -9.56628365E-001  2.65193760E-001  9.92706200E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  5.88626955E+002  9.99561260E-001  3.03402045E-004  9.99864660E-001  9.99257855E-001
  2.00000000E-002  9.99867805E-001 -7.19932585E-001  6.82213160E-001  9.91825455E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  5.88610895E+002  9.99471995E-001  3.95815840E-004  9.99867805E-001  9.99076175E-001
  2.25000000E-002  9.99870800E-001 -3.15292715E-001  9.38322690E-001  9.89878255E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  5.88591345E+002  9.99370190E-001  5.00611710E-004  9.99870800E-001  9.98869575E-001
  2.50000000E-002  9.99873770E-001  1.60428545E-001  9.73799100E-001  9.86925530E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  5.88523905E+002  9.99255930E-001  6.17842420E-004  9.99873770E-001  9.98638090E-001
  2.75000000E-002  9.99876685E-001  5.94829605E-001  7.83256670E-001  9.83520855E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  5.88483565E+002  9.99129285E-001  7.47395710E-004  9.99876685E-001  9.98381890E-001
