Time Norm Re(ACF(t)) Im(ACF(t) |ACF(t)| Re(Extra) Im(Extra) |Extra| Sum(HEhr) Pop1 Pop2 Pop1+Pop2 Pop2-Pop1
 
 
  0.00000000E+000  0.10000000E+001  0.10000000E+001  0.00000000E+000  0.10000000E+001  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.19561985E+003  0.10000000E+001  0.00000000E+000  0.10000000E+001  0.10000000E+001
  0.25000000E-002  0.10000000E+001  0.88232258E+000 -0.46940500E+000  0.99941692E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.19561870E+003  0.99999375E+000  0.62499773E-005  0.10000000E+001  0.99998750E+000
  0.50000000E-002  0.10000000E+001  0.55816551E+000 -0.82720950E+000  0.99790996E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.19561757E+003  0.99997500E+000  0.24999695E-004  0.10000000E+001  0.99995000E+000
  0.75000000E-002  0.10000000E+001  0.10563402E+000 -0.99045526E+000  0.99607237E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.19561643E+003  0.99994375E+000  0.56248752E-004  0.10000000E+001  0.99988750E+000
  0.10000000E-001  0.10000000E+001 -0.36915680E+000 -0.92348024E+000  0.99453129E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.19561530E+003  0.99990000E+000  0.99996245E-004  0.10000000E+001  0.99980001E+000
  0.12500000E-001  0.10000000E+001 -0.75724186E+000 -0.64332466E+000  0.99362058E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.19561416E+003  0.99984376E+000  0.15623980E-003  0.10000000E+001  0.99968752E+000
  0.15000000E-001  0.10000000E+001 -0.96978495E+000 -0.21446177E+000  0.99321534E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.19561304E+003  0.99977502E+000  0.22497631E-003  0.10000000E+001  0.99955005E+000
  0.17500000E-001  0.10000000E+001 -0.95694340E+000  0.26445321E+000  0.99281225E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.19561191E+003  0.99969380E+000  0.30620419E-003  0.10000000E+001  0.99938759E+000
  0.20000000E-001  0.10000000E+001 -0.72065502E+000  0.68143141E+000  0.99181269E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.19561079E+003  0.99960008E+000  0.39992344E-003  0.10000000E+001  0.99920015E+000
  0.22500000E-001  0.10000000E+001 -0.31657195E+000  0.93787194E+000  0.98985937E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.19560967E+003  0.99949387E+000  0.50613298E-003  0.10000000E+001  0.99898773E+000
  0.25000000E-001  0.10000000E+001  0.15888362E+000  0.97417288E+000  0.98704448E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.19560855E+003  0.99937517E+000  0.62482879E-003  0.10000000E+001  0.99875034E+000
  0.27500000E-001  0.10000000E+001  0.59371654E+000  0.78454456E+000  0.98387473E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.19560743E+003  0.99924400E+000  0.75600242E-003  0.10000000E+001  0.99848800E+000
