Time Norm Re(ACF(t)) Im(ACF(t) |ACF(t)| Re(Extra) Im(Extra) |Extra| Sum(HEhr) Pop1 Pop2 Pop1+Pop2 Pop2-Pop1
 
 
  0.00000000E+000  1.00000000E+000  1.00000000E+000  0.00000000E+000  1.00000000E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  1.95619850E+002  1.00000000E+000  0.00000000E+000  1.00000000E+000  1.00000000E+000
  2.50000000E-003  1.00000000E+000  8.82322580E-001 -4.69405000E-001  9.99416920E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  1.95618700E+002  9.99993750E-001  6.24997730E-006  1.00000000E+000  9.99987500E-001
  5.00000000E-003  1.00000000E+000  5.58165510E-001 -8.27209500E-001  9.97909960E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  1.95617570E+002  9.99975000E-001  2.49996950E-005  1.00000000E+000  9.99950000E-001
  7.50000000E-003  1.00000000E+000  1.05634020E-001 -9.90455260E-001  9.96072370E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  1.95616430E+002  9.99943750E-001  5.62487520E-005  1.00000000E+000  9.99887500E-001
  1.00000000E-002  1.00000000E+000 -3.69156800E-001 -9.23480240E-001  9.94531290E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  1.95615300E+002  9.99900000E-001  9.99962450E-005  1.00000000E+000  9.99800010E-001
  1.25000000E-002  1.00000000E+000 -7.57241860E-001 -6.43324660E-001  9.93620580E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  1.95614160E+002  9.99843760E-001  1.56239800E-004  1.00000000E+000  9.99687520E-001
  1.50000000E-002  1.00000000E+000 -9.69784950E-001 -2.14461770E-001  9.93215340E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  1.95613040E+002  9.99775020E-001  2.24976310E-004  1.00000000E+000  9.99550050E-001
  1.75000000E-002  1.00000000E+000 -9.56943400E-001  2.64453210E-001  9.92812250E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  1.95611910E+002  9.99693800E-001  3.06204190E-004  1.00000000E+000  9.99387590E-001
  2.00000000E-002  1.00000000E+000 -7.20655020E-001  6.81431410E-001  9.91812690E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  1.95610790E+002  9.99600080E-001  3.99923440E-004  1.00000000E+000  9.99200150E-001
  2.25000000E-002  1.00000000E+000 -3.16571950E-001  9.37871940E-001  9.89859370E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  1.95609670E+002  9.99493870E-001  5.06132980E-004  1.00000000E+000  9.98987730E-001
  2.50000000E-002  1.00000000E+000  1.58883620E-001  9.74172880E-001  9.87044480E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  1.95608550E+002  9.99375170E-001  6.24828790E-004  1.00000000E+000  9.98750340E-001
  2.75000000E-002  1.00000000E+000  5.93716540E-001  7.84544560E-001  9.83874730E-001  0.00000000E+000  0.00000000E+000  0.00000000E+000  1.95607430E+002  9.99244000E-001  7.56002420E-004  1.00000000E+000  9.98488000E-001
